query_id	doc_id	score
q0	330	1
q1	1740	1
q2	1338	1
q3	570	1
q4	1917	1
q5	1321	1
q5	1323	1
q6	1254	1
q6	1320	1
q6	1365	1
q6	1366	1
q7	1792	1
q7	1888	1
q8	1234	1
q8	1239	1
q8	1243	1
q8	1365	1
q8	1925	1
q9	1320	1
q9	1365	1
q9	1464	1
q10	1888	1
q11	1792	1
q12	1238	1
q12	1338	1
q12	1244	1
q12	1245	1
q12	1250	1
q12	1754	1
q12	1765	1
q12	1766	1
q12	1767	1
q13	1865	1
q14	1365	1
q14	1338	1
q15	531	1
q15	1338	1
q15	1365	1
q15	1866	1
q16	330	1
q16	345	1
q17	1365	1
q17	1946	1
q17	1963	1
q17	1967	1
q18	1888	1
q19	1238	1
q19	1243	1
q19	1250	1
q20	1792	1
q21	1792	1
q21	1888	1
q22	1365	1
q23	280	1
q24	1963	1
q24	1964	1
q25	833	1
q25	1313	1
q25	1320	1
q25	1338	1
q25	1365	1
q26	1338	1
q26	1365	1
q27	1792	1
q27	1888	1
q28	436	1
q28	1365	1
q29	330	1
q30	1870	1
q31	1365	1
q32	830	1
q32	832	1
q32	834	1
q32	852	1
q32	1868	1
q32	1871	1
q32	1874	1
q32	1878	1
q32	1888	1
q33	345	1
q34	1685	1
q34	1868	1
q34	1888	1
q35	1888	1
q35	1868	1
q36	1888	1
q36	1868	1
q37	1792	1
q38	1313	1
q38	1320	1
q38	1865	1
q38	1888	1
q39	1685	1
q39	1868	1
q39	1888	1
q40	1313	1
q40	1320	1
q40	1338	1
q40	1865	1
q40	1870	1
q40	1888	1
q41	1365	1
q42	1908	1
q43	11	1
q44	1908	1
q45	1365	1
q45	1320	1
q45	1338	1
q45	1347	1
q45	1548	1
q45	1317	1
q45	1339	1
q45	1340	1
q45	1365	1
q46	1685	1
q46	1868	1
q46	1888	1
q47	1653	1
q48	834	1
q48	1968	1
q48	1365	1
q48	1917	1
q48	1792	1
q48	1795	1
q49	1320	1
q49	1365	1
q49	1868	1
q49	1871	1
q49	1874	1
q49	1878	1
q49	1888	1
q50	1320	1
q50	1335	1
q50	1337	1
q50	1338	1
q51	1866	1
q51	1888	1
q52	1908	1
q53	1908	1
q54	1685	1
q54	1868	1
q54	1888	1
q55	1131	1
q55	1132	1
q55	1133	1
q55	1134	1
q55	1137	1
q55	1149	1
q56	1908	1
q57	1365	1
q58	1234	1
q59	1320	1
q60	1365	1
q60	1367	1
q60	1795	1
q60	1917	1
q61	1888	1
q61	1685	1
q61	1868	1
q62	102	1
q62	103	1
q63	463	1
q64	1908	1
q65	1908	1
q66	1233	1
q66	1338	1
q66	1340	1
q66	1381	1
q67	570	1
q68	1338	1
q68	1243	1
q68	1917	1
q68	181	1
q68	574	1
q68	1238	1
q68	1320	1
q69	1320	1
q69	1338	1
q70	1685	1
q70	1888	1
q71	271	1
q71	272	1
q71	280	1
q71	247	1
q71	80	1
q72	1233	1
q73	1685	1
q73	1868	1
q73	1888	1
q74	1234	1
q74	1243	1
q74	1338	1
q74	1352	1
q74	1865	1
q74	1866	1
q75	1320	1
q76	1888	1
q76	1868	1
q77	433	1
q77	434	1
q77	436	1
q78	433	1
q78	436	1
q79	1131	1
q80	299	1
q80	330	1
q80	345	1
q80	353	1
q81	1685	1
q81	1868	1
q82	434	1
q83	1870	1
q84	1685	1
q85	1685	1
q85	1868	1
q85	1888	1
q86	1908	1
q87	1338	1
q87	1339	1
q87	1365	1
q87	1366	1
q87	1367	1
q87	1559	1
q87	1560	1
q87	1564	1
q87	1865	1
q88	330	1
q88	345	1
q89	1320	1
q89	1338	1
q90	433	1
q90	434	1
q90	436	1
q91	1908	1
q92	330	1
q92	345	1
q93	1908	1
q94	1320	1
q94	1348	1
q95	1685	1
q95	1868	1
q95	1888	1
q96	1320	1
q96	1330	1
q96	1338	1
q97	1685	1
q97	1868	1
q97	1888	1
q98	1917	1
q99	1365	1
q99	1868	1
q99	1871	1
q99	1874	1
q99	1878	1
q99	1888	1
q100	1320	1
q100	1321	1
q100	1338	1
q100	1313	1
q101	1685	1
q101	1888	1
q102	1320	1
q102	1337	1
q102	1338	1
