pair_id,query_id,query_text,article_id,article_title,article_text,kuhperdata_book,llm_verdict,llm_reasoning,expert_verdict,expert_notes
1,q838,Kenapa saya harus ganti rugi kalau cuma nggak hadir di sidang dan lupa bayar biaya tambahan?,1236,Pasal 1236,"Pasal 1236: Debitur wajib memberi ganti biaya, kerugian dan bunga kepada kreditur bila ia menjadikan dirinya tidak mampu untuk menyerahkan barang itu atau tidak merawatnya dengan sebaikbaiknya untuk menyelamatkannya.",Buku III (Perikatan),RELEVAN,"unsur: debitur menjadikan diri tidak mampu, tidak merawat barang, ganti rugi biaya/kerugian/bunga | fakta: kasus membahas ""lupa bayar biaya tambahan"" dan ""tidak hadir"", yang dapat dikategorikan sebagai kelalaian debitur dalam memenuhi kewajiban (wanprestasi) yang menyebabkan kerugian/biaya tambahan; unsur debitur tidak merawat/memenuhi kewajiban dengan baik relevan dengan konteks kelalaian | RELEVAN",,
2,q1306,"Saya punya anak umur 15 tahun dan suaminya sudah meninggal, apakah saya otomatis jadi wali dan boleh jual tanah warisnya buat biaya sekolah anak?",1097,Pasal 1097,"Pasal 1097: Yang tidak perlu dimasukkan ialah: biaya-biaya pemeliharaan dan pendidikan; tunjangan untuk pemeliharaan yang sangat diperlukan; pengeluaran-pengeluaran untuk memperoleh keahlian dalam bidang perdagangan, kesenian, pekerjaan tangan atau perusahaan; biaya sekolah; biaya untuk penggantian tempat atau penukaran nomor dalam dinas angkatan bersenjata negara; biaya pernikahan, pakaian dan perhiasan untuk perlengkapan perkawinan.",Buku II (Benda),RELEVAN,"unsur: biaya yang tidak perlu dimasukkan dalam perhitungan (biaya sekolah, pemeliharaan) | fakta: kasus menyebutkan biaya sekolah sebagai tujuan pengeluaran, yang merupakan biaya yang dikecualikan dari penggantian pribadi wali (dibebankan pada harta anak) | RELEVAN",,
3,q730,"Ayah saya meninggal saat saya masih kecil, sekarang ibu saya ditunjuk sebagai wali saya dan diberi kuasa mengurus rumah warisan ayah, apakah ini benar-benar sah menurut aturan?",175,Pasal 175,"Pasal 175: Tiada hibah seluruh atau sebagian dan warisan si penghibah, yang diberikan dalam perjanjian kawin, baik yang diberikan oleh yang seorang dan suami isteri kepada yang lain, maupun yang diberikan secara timbal balik, akan beralih kepada anak-anak yang lahir dan perkawinan mereka, bila yang diberi hibah meninggal sebelum si penghibah.",Buku I (Orang),TIDAK_RELEVAN,"unsur: hibah dalam perjanjian kawin, kematian penerima sebelum penghibah | fakta: tidak membahas hibah dalam perjanjian kawin | TIDAK_RELEVAN",,
4,q1838,"Kenapa nama ibu saya di akta kelahiran beda sama di KTP dan KK sih? Saya mau perbaiki supaya urusannya lancar, tapi butuh bukti yang valid.",273,Pasal 273,"Pasal 273: Anak yang dilahirkan dari orang tua, yang tanpa memperoleh dispensasi dari Pemerintah tidak boleh kawin satu sama lainnya, tidak dapat disahkan selain dengan cara mengakui anak itu dalam akta kelahiran.",Buku I (Orang),TIDAK_RELEVAN,"unsur: anak dari orang tua yang tidak boleh kawin tanpa dispensasi, sahkan hanya dengan pengakuan dalam akta kelahiran | fakta: kasus tidak membahas perkawinan yang dilarang atau dispensasi | TIDAK_RELEVAN",,
5,q526,"Saya punya anak kecil yang belum cukup umur, suami saya sudah meninggal, dan sekarang saya butuh izin untuk menjual tanah warisan kami demi biaya sekolahnya, tapi saya bingung harus bagaimana?",396,Pasal 396,"Pasal 396: Pengadilan Negeri boleh mengizinkan penjualan di bawah tangan suatu barang tak bergerak dalam hal-hal yang luar biasa dan bila kepentingan anak belum dewasa menghendakinya. Izin itu tidak akan diberikan, kecuali atas permintaan wali yang harus disertai alasan-alasannya dan dengan persetujuan bersama dari wali pengawas dan keluarga sedarah atau semenda. Bila keluarga sedarah atau semenda tidak semua datang menghadap atas panggilan, maka cukup persetujuan bersama dari mereka yang datang. Barang tidak bergerak itu tidak boleh dijual dengan harga yang lebih rendah dari harga yang sebelum pemberian izin telah ditaksir oleh tiga orang ahli yang diangkat oleh Pengadilan Negeri.",Buku I (Orang),RELEVAN,"unsur: izin penjualan barang tak bergerak, hal luar biasa, kepentingan anak, taksir ahli | fakta: kasus menyebutkan kebutuhan izin menjual tanah (barang tak bergerak) demi biaya sekolah (kepentingan anak), yang merupakan substansi pasal ini | RELEVAN",,
6,q1419,"Saya punya utang ke teman yang sudah lama tidak dibayar, sekarang dia minta denda 6% per tahun mulai Oktober, apakah wajar kalau dia minta itu?",213,Pasal 213,"Pasal 213: Isteri itu tidak berhak untuk menuntut tunjangan nafkah, yang setelah ditentukan Hakim harus dibayar oleh si suami kepada isterinya selama berlangsungnya perkara itu. Bila isteri itu, tanpa izin Hakim, meninggalkan tempat tinggal yang ditunjuk baginya, maka tergantung pada keadaan, dia boleh diberi hak lagi untuk menuntut tunjangan, bahkan bila dia adalah penggugat, dia dapat dinyatakan tidak dapat diterima untuk melanjutkan tuntutan hukumnya.",Buku I (Orang),TIDAK_RELEVAN,"unsur: tunjangan nafkah isteri, izin hakim, tempat tinggal | fakta: kasus tidak melibatkan sengketa perkawinan/nafkah | TIDAK_RELEVAN",,
7,q842,"Saya punya anak yang belum cukup umur dan ayahnya sudah meninggal, jadi saya ingin tahu bagaimana cara saya bisa menjual tanah warisan kami demi kebutuhan hidup kami?",1787,Pasal 1787,Pasal 1787: Penerima bunga tidak dapat menagih bunga yang sudah harus dibayar selain dengan menyatakan bahwa orang yang atas dirinya telah diperjanjikan bunga cagak hidup itu masih hidup.,Buku III (Perikatan),RELEVAN,"unsur: wali tidak boleh mengasingkan/menggadaikan/menjual barang tak bergerak tanpa izin Pengadilan Negeri, syarat keperluan mutlak/manfaat jelas | fakta: kasus ingin menjual tanah (barang tak bergerak) milik anak. Pasal ini adalah dasar hukum utama yang melarang wali menjual tanpa izin pengadilan dan mensyaratkan adanya keperluan mutlak atau manfaat jelas. Unsur ""wali"", ""anak belum dewasa"", ""barang tak bergerak"", ""penjualan"", ""izin pengadilan"" semua terpenuhi. | RELEVAN",,
8,q994,"Saya sudah bayar duit beli barang bekas rongsokan tapi barangnya gak pernah datang, sekarang penjualnya meninggal dan keluarganya gak mau kasih uang kembali, apa yang harus saya lakukan?",1457,Pasal 1457,"Pasal 1457: Jual beli adalah suatu persetujuan dengan mana pihak yang satu mengikatkan dirinya untuk menyerahkan suatu barang, dan pihak yang lain untuk membayar harga yang dijanjikan.",Buku III (Perikatan),RELEVAN,"unsur: definisi jual beli, penyerahan barang, pembayaran harga | fakta: kasus ini adalah jual beli, unsur ini mendefinisikan hubungan hukum yang terjadi | RELEVAN",,
9,q425,"Saya sudah lunas bayar uang miliaran untuk villa impian, tapi developer malah gagal serahkan rumah sesuai janji dan malah minta waktu tambahan tanpa alasan jelas, apa yang harus saya lakukan?",1338,Pasal 1338,"Pasal 1338: Semua persetujuan yang dibuat sesuai dengan undang-undang berlaku sebagai undang-undang bagi mereka yang membuatnya. Persetujuan itu tidak dapat ditarik kembali selain dengan kesepakatan kedua belah pihak, atau karena alasan-alasan yang ditentukan oleh undangundang. Persetujuan harus dilaksanakan dengan itikad baik.",Buku III (Perikatan),RELEVAN,"unsur: perjanjian sebagai undang-undang bagi pihak, itikad baik, tidak dapat ditarik kembali | fakta: ini adalah Pasal 1338 (kesepakatan mengikat). Unsur: adanya perjanjian, kewajiban melaksanakan dengan itikad baik. Fakta: Developer gagal serah (melanggar itikad baik/perjanjian). Unsur ini **terpenuhi/dibahas** karena inti sengketa adalah pelanggaran terhadap perjanjian yang berlaku sebagai hukum bagi mereka. | RELEVAN",,
10,q92,"Saya bingung, kenapa saya tidak bisa menuntut ganti rugi lagi padahal kasus penipuan saya sudah diadili sebelumnya?",1602t,Pasal 1602t,"Pasal 1602t: Majikan yang untuk sementara waktu berhalangan memenuhi upah berupa pemondokan, pangan dan keperluan hidup lain, sedangkan halangan ini tidak disebabkan oleh perbuatan buruh sendiri, wajib memberikan suatu ganti rugi yang jumlahnya ditetapkan dengan persetujuan, atau jika tidak ada suatu perjanjian. menurut kebiasaan setempat.",Buku III (Perikatan),TIDAK_RELEVAN,"unsur: hubungan kerja, halangan majikan, ganti rugi pemondokan/pangan | fakta: kasus tentang penipuan, bukan hubungan kerja | TIDAK_RELEVAN",,
11,q672,"Saya punya tanah warisan dari suami yang sudah meninggal, tapi salah satu anak saya masih kecil dan belum bisa mengurus sendiri. Bagaimana cara saya menjual tanah itu demi biaya hidup dan pendidikan anak tanpa melanggar aturan supaya aman?",383,Pasal 383,Pasal 383: Wali harus menyelenggarakan pemeliharaan dan pendidikan bagi anak belum dewasa menurut kemampuan harta kekayaannya dan harus mewakili anak belum dewasa itu dalam segala tindakan perdata. Anak belum dewasa harus menghormati walinya.,Buku I (Orang),RELEVAN,"unsur: kewajiban wali memelihara/mendidik, mewakili anak dalam tindakan perdata | fakta: istri (sebagai pemegang kekuasaan orang tua, yang fungsinya mirip wali dalam representasi) ingin melakukan tindakan perdata (jual tanah) untuk kepentingan pemeliharaan/pendidikan. Prinsip representasi dan kepentingan anak sangat relevan | RELEVAN",,
12,q1113,"Saya punya tanah yang dilelang ke orang lain, tapi saya masih tinggal di sana dan merasa harga lelangnya terlalu rendah, apakah saya bisa menolak penyerahan tanahnya itu?",1524,Pasal 1524,"Pasal 1524: Barangsiapa membeli dengan perjanjian membeli kembali, memperoleh segala hak penjual sebagai penggantinya ia dapat menggunakan hak lewat waktunya baik terhadap pemilik sejati saja yang mengira punya hak hipotek atau hak lain atas barang yang dijual itu.",Buku III (Perikatan),TIDAK_RELEVAN,"unsur: jual beli dengan perjanjian kembali, hak penjual, hak lewat waktu | fakta: kasus tentang lelang tanah, tidak menyebutkan perjanjian jual beli kembali | TIDAK_RELEVAN",,
