query_id	doc_id	score
q0	330	1
q4	1917	1
q5	1321	1
q5	1323	1
q6	1254	1
q6	1320	1
q6	1365	1
q6	1366	1
q7	1792	1
q8	1925	1
q10	1888	1
q11	1792	1
q12	1238	1
q12	1338	1
q12	1244	1
q12	1245	1
q13	1865	1
q14	1365	1
q15	531	1
q15	1338	1
q16	330	1
q16	345	1
q17	1365	1
q17	1946	1
q17	1963	1
q17	1967	1
q18	1888	1
q21	1792	1
q22	1792	1
q23	1365	1
q25	1963	1
q25	1964	1
q26	833	1
q26	1313	1
q26	1338	1
q28	1338	1
q28	1365	1
q29	1792	1
q30	1365	1
q31	330	1
q32	1870	1
q33	1365	1
q35	345	1
q36	1685	1
q37	1888	1
q37	1868	1
q38	1888	1
q38	1868	1
q39	1792	1
q40	1320	1
q40	1865	1
q41	1685	1
q41	1868	1
q41	1888	1
q42	1313	1
q42	1320	1
q42	1338	1
q42	1865	1
q42	1870	1
q42	1888	1
q43	1365	1
q44	1908	1
q45	11	1
q46	1908	1
q48	1685	1
q48	1868	1
q49	1653	1
q50	1917	1
q50	1792	1
q51	1868	1
q51	1871	1
q51	1874	1
q51	1878	1
q51	1888	1
q54	1908	1
q55	1908	1
q56	1685	1
q56	1868	1
q56	1888	1
q58	1908	1
q59	1365	1
q60	1234	1
q61	1320	1
q62	1365	1
q62	1367	1
q63	1888	1
q63	1685	1
q64	102	1
q64	103	1
q65	463	1
q66	1908	1
q67	1908	1
q69	570	1
q75	1685	1
q75	1868	1
q75	1888	1
q76	1234	1
q76	1243	1
q76	1338	1
q76	1352	1
q76	1865	1
q76	1866	1
q78	1888	1
q78	1868	1
q80	433	1
q80	436	1
q81	1131	1
q82	299	1
q82	330	1
q82	345	1
q82	353	1
q83	1685	1
q83	1868	1
q84	434	1
q85	1870	1
q86	1685	1
q87	1685	1
q87	1868	1
q87	1888	1
q88	1908	1
q90	330	1
q90	345	1
q92	433	1
q92	434	1
q92	436	1
q93	1908	1
q94	330	1
q94	345	1
q95	1908	1
q96	1320	1
q96	1348	1
q97	1685	1
q97	1868	1
q97	1888	1
q98	1320	1
q98	1338	1
q99	1685	1
q99	1868	1
q99	1888	1
q100	1917	1
q103	1685	1
q103	1888	1
q105	1685	1
q105	1868	1
q105	1888	1
q106	433	1
q106	434	1
q106	436	1
q106	451	1
q107	1655	1
q109	1685	1
q109	1888	1
q110	1685	1
q110	1868	1
q110	1888	1
q111	1868	1
q112	1320	1
q114	1685	1
q114	1868	1
q114	1888	1
q117	1320	1
q117	1330	1
q117	1337	1
q117	1338	1
q117	1868	1
q117	1871	1
q117	1874	1
q117	1878	1
q117	1888	1
q118	570	1
q120	1866	1
q122	330	1
q122	345	1
q123	1178	1
q123	1211	1
q123	1237	1
q123	1243	1
q123	1244	1
q123	1245	1
q123	1444	1
q124	1365	1
q128	1365	1
q128	1379	1
q129	1365	1
q132	1365	1
q133	1917	1
q134	1133	1
q134	1199	1
q134	1236	1
q134	1239	1
q134	1243	1
q134	1246	1
q134	1365	1
q134	1767	1
q134	1865	1
q139	1365	1
q139	1366	1
q140	1365	1
q141	1917	1
q142	1888	1
q143	1100	1
q143	1131	1
q147	841	1
q147	842	1
q148	875	1
q148	1365	1
q149	1365	1
q149	1366	1
q150	1365	1
q150	1372	1
q153	1457	1
q153	1459	1
q153	1519	1
q154	1338	1
q154	1458	1
q156	1320	1
q156	1340	1
q156	1365	1
q156	1388	1
q156	1430	1
q157	1335	1
q157	1337	1
q157	1365	1
q158	832	1
q158	1365	1
q158	1967	1
q159	1320	1
q160	1338	1
q160	1243	1
q161	1365	1
q162	1365	1
q162	1366	1
q162	1868	1
q162	1870	1
q162	1917	1
q162	1925	1
q164	1870	1
q164	1888	1
q165	1909	1
q165	1911	1
q167	1320	1
q167	1338	1
q167	1365	1
q168	1365	1
q169	1365	1
q171	1365	1
q171	1857	1
q171	1865	1
q171	1869	1
q171	1870	1
q172	529	1
q172	1955	1
q172	1967	1
q173	1320	1
q173	1792	1
q175	1365	1
q176	1320	1
q178	1320	1
q178	1338	1
q178	1239	1
q179	1365	1
q181	1365	1
q182	1335	1
q182	1337	1
q182	1865	1
q183	1365	1
q184	1320	1
q184	1365	1
q184	1865	1
q185	1365	1
q186	1317	1
q186	1320	1
q187	1365	1
q188	1457	1
q189	1365	1
