query_id	doc_id	score
q0	1365	1
q1	1365	1
q2	1576	1
q2	1550	1
q3	1668	1
q3	1669	1
q3	1666	1
q4	1917	1
q5	1320	1
q5	1338	1
q5	1239	1
q5	1243	1
q6	613	1
q7	1865	1
q8	1365	1
q9	1457	1
q10	1320	1
q11	1888	1
q11	1909	1
q12	1888	1
q13	1868	1
q14	1365	1
q14	1320	1
q14	1457	1
q14	1338	1
q15	1868	1
q15	1870	1
q16	13	1
q16	14	1
q17	309	1
q17	330	1
q17	345	1
q17	355	1
q17	359	1
q17	383	1
q17	393	1
q18	1365	1
q19	1888	1
q20	433	1
q20	434	1
q20	436	1
q20	439	1
q20	452	1
q20	449	1
q20	1453	1
q20	330	1
q21	433	1
q21	434	1
q22	330	1
q23	1320	1
q23	1457	1
q23	1871	1
q23	1338	1
q24	330	1
q24	345	1
q24	383	1
q25	1320	1
q25	1338	1
q25	1365	1
q26	1868	1
q26	1870	1
q27	1865	1
q28	1865	1
q29	1365	1
q30	1365	1
q30	1238	1
q30	1338	1
q31	119	1
q31	120	1
q31	126	1
q32	1868	1
q32	1870	1
q33	330	1
q33	383	1
q33	345	1
q33	355	1
q33	359	1
q34	1865	1
q35	1917	1
q36	330	1
q36	345	1
q37	1131	1
q37	1338	1
q38	1365	1
q38	1311	1
q39	1238	1
q39	1243	1
q39	1320	1
q40	1365	1
q40	1320	1
q40	1457	1
q40	1917	1
q41	1329	1
q42	1365	1
q42	1366	1
q42	1338	1
q42	1238	1
q43	1917	1
q44	1365	1
q45	1238	1
q45	1239	1
q45	1313	1
q45	1320	1
q45	1243	1
q46	1320	1
q46	1330	1
q46	1338	1
q46	1243	1
q47	1865	1
q48	1320	1
q48	1338	1
q48	1234	1
q48	1238	1
q48	1239	1
q49	1365	1
q49	1320	1
q50	1365	1
q51	330	1
q51	330	1
q51	345	1
q51	355	1
q51	359	1
q51	383	1
q52	1365	1
q53	1865	1
q54	1365	1
q54	1366	1
q54	1243	1
q54	1338	1
q55	1865	1
q56	1131	1
q56	1320	1
q56	1238	1
q56	1239	1
q56	1243	1
q56	1244	1
q56	1245	1
q56	1792	1
q56	1793	1
q56	1795	1
q56	1803	1
q56	1812	1
q56	1865	1
q56	1867	1
q56	1874	1
q57	1313	1
q57	1320	1
q57	1321	1
q57	1329	1
q57	1332	1
q57	1335	1
q58	436	1
q58	439	1
q58	433	1
q58	434	1
q59	330	1
q59	330	1
q60	330	1
q60	330	1
q60	345	1
q60	355	1
q60	359	1
q60	309	1
q60	393	1
q60	383	1
q61	1792	1
q61	1793	1
q61	1795	1
q61	1803	1
q61	1812	1
q62	330	1
q62	330	1
q62	345	1
q62	355	1
q62	359	1
q62	309	1
q62	393	1
q62	383	1
q63	1865	1
q64	1338	1
q65	330	1
q66	330	1
q67	330	1
q67	345	1
q67	383	1
q68	830	1
q68	833	1
q68	1365	1
q68	1865	1
q68	1888	1
q69	1868	1
q69	1870	1
q70	1338	1
q70	1458	1
q70	1548	1
q70	1554	1
q70	1560	1
q70	1559	1
q70	1576	1
q70	1868	1
q71	1365	1
q71	1366	1
q71	1367	1
q72	436	1
q72	433	1
q72	434	1
q72	439	1
q73	1338	1
q74	330	1
q74	345	1
q74	355	1
q74	359	1
q74	383	1
q75	1865	1
q76	1865	1
q77	284	1
q77	1365	1
q78	1340	1
q79	1792	1
q80	1234	1
q80	1238	1
q80	1243	1
q80	1865	1
q80	1320	1
q80	383	1
q80	1337	1
q80	1335	1
q81	284	1
q81	272	1
q81	274	1
q82	1320	1
q82	1338	1
q82	1321	1
q83	345	1
q83	330	1
q83	330	1
q84	1365	1
q84	1243	1
q85	1792	1
q85	1793	1
q85	1795	1
q85	1803	1
q85	1812	1
q86	1243	1
q86	1247	1
q86	1365	1
q87	1865	1
q88	1865	1
q89	1865	1
q89	1320	1
q89	383	1
q89	1337	1
q89	1335	1
q89	1238	1
q89	1234	1
q90	1865	1
q91	1865	1
q91	1320	1
q91	383	1
q91	1131	1
q91	1234	1
q91	1238	1
q91	1239	1
q91	1243	1
q91	1250	1
q91	1335	1
q91	1337	1
q92	1320	1
q92	1337	1
q92	1338	1
q92	1238	1
q92	1243	1
q92	1917	1
q93	330	1
q93	330	1
q93	340	1
q93	345	1
q93	345	1
q93	355	1
q93	359	1
q93	383	1
q94	1917	1
q95	1365	1
q96	1868	1
q96	1870	1
q97	1865	1
q98	272	1
q98	274	1
q99	1865	1
q100	1238	1
q100	1243	1
q100	1247	1
q100	1267	1
q100	1233	1
q100	1313	1
q101	1320	1
q102	330	1
q102	330	1
q102	345	1
q102	355	1
q102	359	1
q102	309	1
q102	393	1
